Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Aruba,ABW,Net official development assistance and official aid received (constant 2021 US$),DT.ODA.ALLD.KD,,,,,,,,,,,,,,,,,,,,,,,,,,39840000.15,98540000.92,42430000.31,37709999.08,50310001.37,52360000.61,43479999.54,47919998.17,41189998.63,29000000,35450000.76,27979999.54,40330001.83,18040000.92,-12149999.62,21180000.31,-3079999.924,17530000.69,104110000.6,-13880000.11,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,AFE,Net official development assistance and official aid received (constant 2021 US$),DT.ODA.ALLD.KD,,,,,,,,,,,3304149952,3498750018,3797890042,3830179989,5367859994,6833750009,6051860012,6912419989,7887449924,9599709981,10648089997,11103669885,12144059968,12039640124,12314459777,14261039956,13403239928,13733100021,14376240056,14331689865,15686299941,14730480038,15747409929,14906450096,14351230021,13457149872,10511330006,11173139956,10808109959,10492840012,11800730036,12925740023,16770769835,21152470179,18811249705,18582789993,20316580112,20751680010,23153240047,25534140121,25172019966,27281510319,25574370029,28148420082,24798370349,26665950031,26497279972,28978569827,27525489811,30678849829,,,,
Afghanistan,AFG,Net official development assistance and official aid received (constant 2021 US$),DT.ODA.ALLD.KD,120099998.5,238550003.1,115879997.3,244419998.2,304029998.8,350480011,318929992.7,253910003.7,175389999.4,158690002.4,177809997.6,262350006.1,301290008.5,271359985.4,218350006.1,264500000,269709991.5,293630004.9,230850006.1,270950012.2,72260002.14,58990001.68,27059999.47,39950000.76,19729999.54,45889999.39,6429999.828,93459999.08,137610000.6,273100006.1,209800003.1,804239990.2,323019989,359290008.5,355489990.2,292700012.2,236380004.9,357220001.2,256950012.2,225970001.2,233360000.6,737489990.2,1932219971,2119750000,2882780029,3558129883,3536939941,5140459961,5124450195,6568600098,6882540039,7099149902,6966729980,5354040039,5175979980,4815140137,4610850098,4248819824,4073770020,4509450195,4480430176,4690520020,3959649902,
Africa Western and Central,AFW,Net official development assistance and official aid received (constant 2021 US$),DT.ODA.ALLD.KD,,,,,,,,,,,3527229970,3586759977,3264539976,3718509975,4957700077,5234569925,4948710011,4986049954,6004990045,6177050025,6090829983,6484409975,6605799900,6354810040,7587849964,7673069958,8398749969,7728979912,8412119957,9951039963,9561569992,9516330109,8986280006,8867279915,10274689892,8316189999,8369310028,7236790020,7802730003,6607859993,6047509985,7298939981,9231720064,8266409977,9426360058,15763329903,21639860029,12665900078,11995780109,14003859900,15184800049,13348189966,15041050021,13479869922,13955869933,15468500005,14690269836,16599879765,16573919943,18802380081,,,,
Angola,AGO,Net official development assistance and official aid received (constant 2021 US$),DT.ODA.ALLD.KD,-400000.006,283290008.5,,219999.9988,,12989999.77,30360000.61,185619995.1,59999.99866,-1100000.024,-469999.9988,-100000.0015,709999.9785,1070000.052,1809999.943,19229999.54,64779998.78,167789993.3,135699996.9,116349998.5,122110000.6,150509994.5,160839996.3,210880004.9,277519989,262579986.6,301239990.2,259250000,287899993.9,310890014.6,426690002.4,432540008.5,492630004.9,465570007.3,689390014.6,591409973.1,652650024.4,551080017.1,521679992.7,601739990.2,492769989,477579986.6,647440002.4,678409973.1,1438030029,503459991.5,200860000.6,240179992.7,356690002.4,241250000,250880004.9,202970001.2,258239990.2,294700012.2,242559997.6,426130004.9,234380004.9,247740005.5,172979995.7,21299999.24,118330001.8,247160003.7,96580001.83,
Albania,ALB,Net official development assistance and official aid received (constant 2021 US$),DT.ODA.ALLD.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10050000.19,19040000.92,17190000.53,480140014.6,593460022,428540008.5,238580001.8,241210006.7,312790008.5,245639999.4,402230011,742859985.4,524150024.4,452450012.2,483619995.1,467440002.4,373869995.1,376950012.2,379500000,280700012.2,337089996.3,330420013.4,374500000,366529998.8,355929992.7,270029998.8,276619995.1,350850006.1,189820007.3,185070007.3,365630004.9,29399999.62,326519989,633419982.9,338769989,
Andorra,AND,Net official development assistance and official aid received (constant 2021 US$),DT.ODA.ALLD.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,Net official development assistance and official aid received (constant 2021 US$),DT.ODA.ALLD.KD,,,,,,,,,,,4586879977,4358969982,4646900008,10144760095,16343159762,21086749768,21268709511,23150260513,19909970187,20699570459,21983100221,21732279947,18586279745,16073449983,15189849789,16705069903,13280230022,12373330144,9060259971,8886360048,19795519804,17332609682,11828940120,10630240070,10642240072,7477209940,8166089997,8107249854,9141040046,7708389907,7481300151,8434359970,7797740065,11895850018,14162890194,34729689737,20139009983,20242460247,22683030471,14915189830,12650639998,13150420040,14234010033,21047370125,20538460060,21152599579,27913110104,29821979660,33487960175,30187009758,32811099686,37040410217,,
United Arab Emirates,ARE,Net official development assistance and official aid received (constant 2021 US$),DT.ODA.ALLD.KD,4360000.134,5550000.191,4250000,3809999.943,4920000.076,129999.9952,11020000.46,13199999.81,10420000.08,7489999.771,35779998.78,35560001.37,26750000,3950000.048,2720000.029,16049999.24,3819999.933,122620002.7,4710000.038,17930000.31,9750000,-879999.9952,11989999.77,11239999.77,9109999.657,10760000.23,78370002.75,217500000,-23260000.23,-12439999.58,5110000.134,-14409999.85,-14369999.89,-15449999.81,-12289999.96,5559999.943,7210000.038,2500000,5059999.943,4920000.076,5309999.943,4119999.886,6079999.924,6590000.153,6429999.828,,,,,,,,,,,,,,,,,,,
Argentina,ARG,Net official development assistance and official aid received (constant 2021 US$),DT.ODA.ALLD.KD,220729995.7,369000000,352089996.3,209500000,-41349998.47,-453880004.9,-115849998.5,62279998.78,-39450000.76,52509998.32,-34630001.07,32490001.68,8960000.038,67059997.56,70510002.14,47340000.15,54970001.22,55979999.54,46959999.08,70430000.31,102949996.9,95639999.39,82309997.56,96080001.83,92959999.08,111730003.4,156690002.4,147979995.7,244029998.8,352959991.5,258950012.2,400320007.3,359570007.3,374700012.2,239160003.7,175750000,160649993.9,138919998.2,101220001.2,102269996.6,92540000.92,268160003.7,162770004.3,161600006.1,117629997.3,110580001.8,131429992.7,96639999.39,124099998.5,116599998.5,127279998.8,96680000.31,185139999.4,37069999.69,49880001.07,-20620000.84,4840000.153,600000.0238,81510002.14,12680000.31,108099998.5,155259994.5,407309997.6,
