Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Aruba,ABW,Net ODA received (% of central government expense),DT.ODA.ODAT.XP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,AFE,Net ODA received (% of central government expense),DT.ODA.ODAT.XP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,Net ODA received (% of central government expense),DT.ODA.ODAT.XP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201.8477549,192.1280358,90.60014981,104.7972021,77.31162016,63.69119689,79.11555415,60.75844082,54.08344146,60.3365575,51.14058916,51.82426315,,,,,,
Africa Western and Central,AFW,Net ODA received (% of central government expense),DT.ODA.ODAT.XP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,Net ODA received (% of central government expense),DT.ODA.ODAT.XP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.04929132,15.16363025,10.90412246,12.82315175,10.69553698,30.09979865,5.385874915,1.640203672,1.618123129,1.748701199,1.219274937,1.094125675,0.647106511,0.81127098,0.764869629,0.619018545,2.017271752,2.235092807,1.816363353,1.311571459,0.176849143,,,,
Albania,ALB,Net ODA received (% of central government expense),DT.ODA.ODAT.XP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.15208711,33.6048335,29.11614881,35.14607698,,,,28.46698073,27.18133321,18.37608891,,,,,,,12.79301354,12.31823495,8.746176802,8.717436501,12.04030639,6.019238062,5.417547892,9.769689287,0.759193984,8.255173737,14.39753435,,
Andorra,AND,Net ODA received (% of central government expense),DT.ODA.ODAT.XP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,Net ODA received (% of central government expense),DT.ODA.ODAT.XP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,ARE,Net ODA received (% of central government expense),DT.ODA.ODAT.XP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,ARG,Net ODA received (% of central government expense),DT.ODA.ODAT.XP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.175928009,1.306590256,0.98794559,0.727423586,0.419492912,0.37022877,0.296658839,0.225742264,0.163854523,0.173533136,0.155853815,0.345263359,0.514786808,0.465116017,0.350292117,,,,,,,,,,0.037729404,-0.012686803,0.001794994,-0.000748612,0.061493248,0.009009888,0.102059252,0.139362174,0.277062343,
Armenia,ARM,Net ODA received (% of central government expense),DT.ODA.ODAT.XP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.23260629,19.41162795,19.67355644,16.96073182,9.217469786,13.42822672,15.04117102,16.42685794,11.92033104,11.13606334,9.603069284,13.1294769,12.03840521,9.872607112,5.156497962,14.08203186,3.766896166,4.673396853,7.273109494,
American Samoa,ASM,Net ODA received (% of central government expense),DT.ODA.ODAT.XP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,Net ODA received (% of central government expense),DT.ODA.ODAT.XP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,AUS,Net ODA received (% of central government expense),DT.ODA.ODAT.XP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,AUT,Net ODA received (% of central government expense),DT.ODA.ODAT.XP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azerbaijan,AZE,Net ODA received (% of central government expense),DT.ODA.ODAT.XP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.52706108,24.94140057,19.18985156,28.63634781,14.42322006,19.63543889,,,,,,,,,2.040086242,1.742684182,1.416944148,2.361287332,1.855193751,-0.456422972,1.303406297,0.528847449,0.771293473,1.081150592,0.866992288,1.017968135,0.848245883,0.065582424,0.260138183,
Burundi,BDI,Net ODA received (% of central government expense),DT.ODA.ODAT.XP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121.9088749,137.6638993,94.17262762,143.000568,143.9522379,74.67400684,31.74070906,40.51099635,51.4593129,,,,,,,,,,,144.1826934,127.9753908,125.2326045,133.9551624,112.4616691,63.54199904,159.5194168,90.43136442,,129.4217277,102.776821,144.8835385,,
Belgium,BEL,Net ODA received (% of central government expense),DT.ODA.ODAT.XP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benin,BEN,Net ODA received (% of central government expense),DT.ODA.ODAT.XP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burkina Faso,BFA,Net ODA received (% of central government expense),DT.ODA.ODAT.XP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122.2278587,122.5855016,116.6542078,111.3195193,121.9857348,82.2468501,80.76948657,80.90853591,97.53019176,73.6575838,70.9965477,63.02591509,62.55888634,63.9358974,54.53433601,34.20366153,43.02407181,37.92806034,56.85508026,44.97352254,35.60303419,
Bangladesh,BGD,Net ODA received (% of central government expense),DT.ODA.ODAT.XP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.66245638,18.7064606,27.61491005,28.70449455,22.12447968,17.17576349,12.87577944,13.2207957,9.675540447,12.42618077,11.35484349,16.76406858,18.46762216,14.74351814,14.75366874,12.14549458,16.85221437,12.642572,15.08033406,17.63781797,14.68655072,,
Bulgaria,BGR,Net ODA received (% of central government expense),DT.ODA.ODAT.XP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,BHR,Net ODA received (% of central government expense),DT.ODA.ODAT.XP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.26862838,8.288454109,6.470754077,8.194343852,6.813666353,7.301404051,9.753444963,10.4080456,13.4892618,3.8823428,3.350291966,3.785123554,2.768964445,5.702097089,2.28575968,,,,,,,,,,,,,,,,,,,
"Bahamas, The",BHS,Net ODA received (% of central government expense),DT.ODA.ODAT.XP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.598973207,0.508006624,0.503379567,0.215213352,0.17905103,0.737071838,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,BIH,Net ODA received (% of central government expense),DT.ODA.ODAT.XP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.74879567,12.2758198,9.673469719,6.202560596,5.679093637,7.599132902,8.805216097,8.447581444,7.673061914,8.500682681,5.95570309,7.467715133,7.093134813,5.038585163,6.602652442,5.653431635,6.839756311,3.462022086,
Belarus,BLR,Net ODA received (% of central government expense),DT.ODA.ODAT.XP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.634767202,0.624006854,0.544432886,0.538845986,0.607633214,0.788162315,0.762178964,0.566963227,0.502059911,0.558302668,0.658990943,-0.158916022,-1.559044424,0.704855692,1.150821453,1.77411908,0.719361212,0.078204771,
